year_no,week_no,year_week,close_average
2016,17,2016-17,11592.13
2016,18,2016-18,11273.02
2016,19,2016-19,11275.41
2016,20,2016-20,11351.01
2016,21,2016-21,11605.48
2016,22,2016-22,11648.78
2016,23,2016-23,11533.77
2016,24,2016-24,11045.05
2016,25,2016-25,11447.16
2016,26,2016-26,11160.53
2016,27,2016-27,11252.03
2016,28,2016-28,11636.98
2016,29,2016-29,11788.16
2016,30,2016-30,11844.03
2016,31,2016-31,11607.02
2016,32,2016-32,11694.66
2016,33,2016-33,11625.93
2016,34,2016-34,11664.44
2016,35,2016-35,11803.95
2016,36,2016-36,11885.35
2016,37,2016-37,11662.84
2016,38,2016-38,11815.39
2016,39,2016-39,11772.09
2016,40,2016-40,11888.69
2016,41,2016-41,11823.01
2016,42,2016-42,11944.38
2016,43,2016-43,11984.04
2016,44,2016-44,11578.93
2016,45,2016-45,11632.23
2016,46,2016-46,11594.58
2016,47,2016-47,11689.83
2016,48,2016-48,11705.65
2016,49,2016-49,11968.11
2016,50,2016-50,12315.36
2016,51,2016-51,12254.64
2016,52,2016-52,12211.84
2017,1,2017-01,12289.24
2017,2,2017-02,12149.64
2017,3,2017-03,12151.33
2017,4,2017-04,12211.79
2017,5,2017-05,12226.74
2017,6,2017-06,12279.47
2017,7,2017-07,12442.75
2017,8,2017-08,12555.41
2017,9,2017-09,12572.83
2017,10,2017-10,12528.87
2017,11,2017-11,12581.79
2017,12,2017-12,12491.31
2017,13,2017-13,12563.18
2017,14,2017-14,12568.51
2017,15,2017-15,12665.28
2017,16,2017-16,12606.95
2017,17,2017-17,12972.56
2017,18,2017-18,13230.63
2017,19,2017-19,13388.26
2017,20,2017-20,13352.04
2017,21,2017-21,13422.29
2017,22,2017-22,13445.92
2017,23,2017-23,13509.52
2017,24,2017-24,13547.14
2017,25,2017-25,13554.05
2017,26,2017-26,13287.27
2017,27,2017-27,13250.03
2017,28,2017-28,13348.83
2017,29,2017-29,13222.78
2017,30,2017-30,12985.36
