year_no,week_no,year_week,swe,nor
2008,50,2008-50,16.3,
2008,51,2008-51,16.3,
2008,52,2008-52,16.3,
2009,1,2009-01,17,
2009,2,2009-02,17,
2009,3,2009-03,17,
2009,4,2009-04,17,
2009,5,2009-05,17,
2009,6,2009-06,17,
2009,7,2009-07,17,
2009,8,2009-08,17,
2009,9,2009-09,17,
2009,10,2009-10,17,
2009,11,2009-11,17,
2009,12,2009-12,17,
2009,13,2009-13,17,
2009,14,2009-14,17,
2009,15,2009-15,17,
2009,16,2009-16,17,
2009,17,2009-17,17,
2009,18,2009-18,17,
2009,19,2009-19,17,
2009,20,2009-20,17,
2009,21,2009-21,17,
2009,22,2009-22,17,
2009,23,2009-23,17,
2009,24,2009-24,17,
2009,25,2009-25,17,
2009,26,2009-26,17,
2009,27,2009-27,17,
2009,28,2009-28,17,
2009,29,2009-29,17,
2009,30,2009-30,17,
2009,31,2009-31,17,
2009,32,2009-32,17,
2009,33,2009-33,17,
2009,34,2009-34,17,
2009,35,2009-35,17,
2009,36,2009-36,17,
2009,37,2009-37,17,
2009,38,2009-38,17,
2009,39,2009-39,17,
2009,40,2009-40,17,
2009,41,2009-41,17,
2009,42,2009-42,17,
2009,43,2009-43,17,
2009,44,2009-44,17,
2009,45,2009-45,17,
2009,46,2009-46,17,
2009,47,2009-47,17,
2009,48,2009-48,17,
2009,49,2009-49,17,
2009,50,2009-50,17,
2009,51,2009-51,17,
2009,52,2009-52,17,
2009,53,2009-53,17,
2010,1,2010-01,17.9,
2010,2,2010-02,17.9,
2010,3,2010-03,17.9,
2010,4,2010-04,17.9,
2010,5,2010-05,17.9,
2010,6,2010-06,17.9,
2010,7,2010-07,17.9,
2010,8,2010-08,17.9,
2010,9,2010-09,17.9,
2010,10,2010-10,17.9,
2010,11,2010-11,17.9,
2010,12,2010-12,17.9,
2010,13,2010-13,17.9,
2010,14,2010-14,17.9,
2010,15,2010-15,17.9,
2010,16,2010-16,17.9,
2010,17,2010-17,17.9,
2010,18,2010-18,17.9,
2010,19,2010-19,17.9,
2010,20,2010-20,17.9,
2010,21,2010-21,17.9,
2010,22,2010-22,17.9,
2010,23,2010-23,17.9,
2010,24,2010-24,17.9,
2010,25,2010-25,17.9,
2010,26,2010-26,17.9,
2010,27,2010-27,17.9,
2010,28,2010-28,17.9,
2010,29,2010-29,17.9,
2010,30,2010-30,17.9,
2010,31,2010-31,17.9,
2010,32,2010-32,17.9,
2010,33,2010-33,17.9,
2010,34,2010-34,17.9,
2010,35,2010-35,17.9,
2010,36,2010-36,17.9,
2010,37,2010-37,17.9,
2010,38,2010-38,17.9,
2010,39,2010-39,17.9,
2010,40,2010-40,17.9,
2010,41,2010-41,17.9,
2010,42,2010-42,17.9,
2010,43,2010-43,17.9,
2010,44,2010-44,17.9,
2010,45,2010-45,17.9,
2010,46,2010-46,17.9,
2010,47,2010-47,17.9,
2010,48,2010-48,17.9,
2010,49,2010-49,17.9,
2010,50,2010-50,17.9,
2010,51,2010-51,17.9,
2010,52,2010-52,17.9,
2011,1,2011-01,17.9,
2011,2,2011-02,17.9,
2011,3,2011-03,17.9,
2011,4,2011-04,17.9,
2011,5,2011-05,17.9,
2011,6,2011-06,17.9,
2011,7,2011-07,17.9,
2011,8,2011-08,17.9,
2011,9,2011-09,17.9,
2011,10,2011-10,17.9,
2011,11,2011-11,17.9,
2011,12,2011-12,17.9,
2011,13,2011-13,17.9,
2011,14,2011-14,17.9,
2011,15,2011-15,17.9,
2011,16,2011-16,17.9,
2011,17,2011-17,17.9,
2011,18,2011-18,17.9,
2011,19,2011-19,17.9,
2011,20,2011-20,17.9,
2011,21,2011-21,17.9,
2011,22,2011-22,17.9,
2011,23,2011-23,17.9,
2011,24,2011-24,17.9,
2011,25,2011-25,17.9,
2011,26,2011-26,17.9,
2011,27,2011-27,17.9,
2011,28,2011-28,17.9,
2011,29,2011-29,17.9,
2011,30,2011-30,17.9,
2011,31,2011-31,17.9,
2011,32,2011-32,17.9,
2011,33,2011-33,17.9,
2011,34,2011-34,17.9,
2011,35,2011-35,17.9,
2011,36,2011-36,17.9,
2011,37,2011-37,17.9,
2011,38,2011-38,17.9,
2011,39,2011-39,17.9,
2011,40,2011-40,17.9,
2011,41,2011-41,17.9,
2011,42,2011-42,17.9,
2011,43,2011-43,17.9,
2011,44,2011-44,17.9,
2011,45,2011-45,17.9,
2011,46,2011-46,17.9,
2011,47,2011-47,17.9,
2011,48,2011-48,17.9,
2011,49,2011-49,17.9,
2011,50,2011-50,17.9,
2011,51,2011-51,17.9,
2011,52,2011-52,17.9,
2012,1,2012-01,17.9,3
2012,2,2012-02,17.9,3
2012,3,2012-03,17.9,3
2012,4,2012-04,17.9,3
2012,5,2012-05,17.9,3
2012,6,2012-06,17.9,3
2012,7,2012-07,17.9,3
